plot_id,elevation,soil_type,rock_formations,water_proximity,slope_angle,vegetation_cover,drainage_quality,suitability_score,analysis_date,confidence_score
PL-001,545,Red Sandy Loam,"Granite,Quartzite",0.8,12.5,78,Good,94.2,2024-01-15,96.3
PL-002,678,Black Cotton Soil,"Basalt,Sandstone",1.2,8.3,85,Excellent,89.7,2024-01-16,94.8
PL-003,423,Alluvial Soil,"Limestone,Shale",0.5,15.7,65,Good,91.4,2024-01-17,92.1
PL-004,156,Laterite Soil,"Quartzite,Gneiss",2.1,6.2,45,Fair,76.8,2024-01-18,88.5
PL-005,789,Red Loam,"Granite,Schist",0.3,18.9,92,Excellent,96.1,2024-01-19,97.2
PL-006,234,Laterite Soil,"Sandstone,Quartzite",1.8,11.4,88,Good,87.3,2024-01-20,91.7
PL-007,98,Alluvial Soil,"Alluvium,Clay",0.1,3.2,35,Poor,68.9,2024-01-21,85.4
PL-008,567,Black Soil,"Basalt,Trap",1.5,9.8,72,Good,85.6,2024-01-22,89.3
PL-009,345,Red Soil,"Granite,Gneiss",0.9,14.3,81,Good,88.2,2024-01-23,90.6
PL-010,1234,Red Sandy Soil,"Sandstone,Quartzite",2.3,22.1,58,Fair,79.4,2024-01-24,87.9
